fipscode,varname,race_ethn,age,c_mn,se_tot,c_upr,c_lwr,county
48201,tpr,Black,18,0.022850087899113372,5.577198438639979e-4,0.023943218793086807,0.021756957005139937,TX: Harris
48439,first_entry,Black,18,0.04056834192193788,0.00117215229815141,0.042865760426314646,0.038270923417561116,TX: Tarrant
48439,first_inv,Black,18,0.5428539110306377,0.0025122464919893808,0.5477779141549369,0.5379299079063385,TX: Tarrant
48439,first_victim,Black,18,0.2347520493999397,0.0024173322458388435,0.23949002060178384,0.23001407819809558,TX: Tarrant
48439,tpr,Black,18,0.013601961429981088,7.000547568760178e-4,0.014974068753458082,0.012229854106504094,TX: Tarrant
53033,first_entry,Black,18,0.08379068938609856,0.0023283683089204074,0.08835429127158255,0.07922708750061457,WA: King
53033,first_inv,Black,18,0.32937167289891983,0.003720829807872829,0.3366644993223506,0.32207884647548907,WA: King
53033,first_victim,Black,18,0.039891493182708126,0.0017244789017080051,0.043271471830055815,0.03651151453536044,WA: King
53033,tpr,Black,18,0.013292710485035941,9.556797082949533e-4,0.01516584271329405,0.011419578256777833,WA: King
4013,first_entry,Hispanic,18,0.08369312280737445,8.39523257779423e-4,0.08533858839262212,0.08204765722212679,AZ: Maricopa
4013,first_inv,Hispanic,18,0.3612887640976009,0.0013606698550813416,0.36395567701356035,0.35862185118164147,AZ: Maricopa
4013,first_victim,Hispanic,18,0.08026582429901512,8.158310634661253e-4,0.08186485318340872,0.07866679541462152,AZ: Maricopa
4013,tpr,Hispanic,18,0.026205588952342665,4.901974608248675e-4,0.027166375975559404,0.025244801929125926,AZ: Maricopa
6001,first_entry,Hispanic,18,0.02109793622528873,9.367035191830754e-4,0.022933875122887557,0.019261997327689902,CA: Alameda
6001,first_inv,Hispanic,18,0.2568156115386443,0.0025614485912313755,0.2618360507774578,0.2517951722998308,CA: Alameda
6001,first_victim,Hispanic,18,0.03675129410950338,0.00117131386245772,0.039047069279920514,0.03445551893908625,CA: Alameda
6001,tpr,Hispanic,18,0.0021804210366547644,3.3152659479603015e-4,0.0028302131624549833,0.0015306289108545455,CA: Alameda
6037,first_entry,Hispanic,18,0.05094421751187456,4.1701951120967217e-4,0.05176157575384551,0.0501268592699036,CA: Los Angeles
6037,first_inv,Hispanic,18,0.4250396960026001,0.00076595427639563425,0.42654096638433553,0.4235384256208647,CA: Los Angeles
6037,first_victim,Hispanic,18,0.1453260594721421,5.74684787776543e-4,0.14645244165618412,0.1441996772881001,CA: Los Angeles
6037,tpr,Hispanic,18,0.006256832672570656,1.461628486428207e-4,0.006543311855910584,0.005970353489230727,CA: Los Angeles
6059,first_entry,Hispanic,18,0.029706720327798364,6.148858236352272e-4,0.03091189654212341,0.028501544113473318,CA: Orange
6059,first_inv,Hispanic,18,0.3306323887033962,0.0014745328738771243,0.3335224731361953,0.32774230427059703,CA: Orange
6059,first_victim,Hispanic,18,0.13257752424500005,0.0011253009021861906,0.134783114013285,0.1303719344767151,CA: Orange
6059,tpr,Hispanic,18,0.007029993167738793,2.935261435854305e-4,0.007605304409166238,0.006454681926311349,CA: Orange
6065,first_entry,Hispanic,18,0.03749028703726136,6.486447832422487e-4,0.03876163081241617,0.03621894326210655,CA: Riverside
6065,first_inv,Hispanic,18,0.3672908235064746,0.001451946661468295,0.37013663896295246,0.3644450080499967,CA: Riverside
6065,first_victim,Hispanic,18,0.11363389285627025,0.0010165006399216207,0.11562623411051663,0.11164155160202387,CA: Riverside
6065,tpr,Hispanic,18,0.008445033221403428,3.511419612097267e-4,0.009133271465374493,0.007756794977432363,CA: Riverside
6071,first_entry,Hispanic,18,0.05797822290274432,7.958908875913778e-4,0.05953816904242342,0.05641827676306522,CA: San Bernadino
6071,first_inv,Hispanic,18,0.32656882031148793,0.0014523510539677272,0.3294154283772647,0.3237222122457112,CA: San Bernadino
6071,first_victim,Hispanic,18,0.0970554258954224,9.712276647836993e-4,0.09895903211839846,0.09515181967244635,CA: San Bernadino
6071,tpr,Hispanic,18,0.011171588652859513,3.584680220603722e-4,0.011874185976097842,0.010468991329621183,CA: San Bernadino
6073,first_entry,Hispanic,18,0.02453095511972253,5.636677151918203e-4,0.0256357438414985,0.023426166397946563,CA: San Diego
6073,first_inv,Hispanic,18,0.38837445861323755,0.0015170255554413556,0.3913478287019026,0.3854010885245725,CA: San Diego
6073,first_victim,Hispanic,18,0.09705553280154193,0.0010160147898795693,0.09904692178970588,0.09506414381337798,CA: San Diego
